view_id,customer_id,offer_id,offer_category,channel,viewed_at,was_clicked,placement_id
20000001,1,OFFER_EDUCATION_944,education,sms,2026-05-20 13:14:48,0,placement_2
20000002,1,OFFER_HOME_738,home,web,2026-05-11 13:14:48,1,placement_1
20000003,1,OFFER_HOME_395,home,app,2026-06-05 13:14:48,0,placement_2
20000004,1,OFFER_HOME_890,home,web,2025-06-30 13:14:48,0,placement_1
20000005,1,OFFER_TRAVEL_651,travel,app,2026-05-15 13:14:48,0,placement_1
20000006,1,OFFER_HOME_366,home,sms,2025-07-23 13:14:48,0,placement_1
20000007,1,OFFER_HOME_341,home,sms,2026-04-14 13:14:48,0,placement_4
20000008,1,OFFER_HOME_926,home,sms,2026-05-24 13:14:48,1,placement_2
20000009,1,OFFER_REWARDS_458,rewards,app,2026-04-09 13:14:48,0,placement_3
20000010,1,OFFER_HOME_117,home,app,2026-03-31 13:14:48,1,placement_4
20000011,1,OFFER_EDUCATION_945,education,email,2026-06-06 13:14:48,0,placement_1
20000012,1,OFFER_HOME_710,home,web,2026-03-28 13:14:48,0,placement_1
20000013,1,OFFER_HOME_372,home,app,2025-09-30 13:14:48,0,placement_1
20000014,2,OFFER_HOME_753,home,app,2025-07-13 13:14:48,0,placement_1
20000015,2,OFFER_LIFESTYLE_579,lifestyle,web,2025-09-21 13:14:48,0,placement_2
20000016,2,OFFER_HOME_503,home,email,2026-05-15 13:14:48,1,placement_4
20000017,2,OFFER_HOME_352,home,app,2025-11-03 13:14:48,1,placement_1
20000018,2,OFFER_HOME_256,home,web,2026-05-03 13:14:48,0,placement_4
20000019,2,OFFER_HOME_619,home,web,2025-11-21 13:14:48,0,placement_2
20000020,2,OFFER_HOME_771,home,app,2025-10-16 13:14:48,1,placement_1
20000021,2,OFFER_LIFESTYLE_122,lifestyle,app,2026-05-15 13:14:48,0,placement_3
20000022,2,OFFER_HOME_355,home,app,2026-05-31 13:14:48,1,placement_4
20000023,2,OFFER_HOME_204,home,app,2026-04-09 13:14:48,1,placement_3
