redemption_id,customer_id,points_redeemed,redemption_category,redeemed_at,dollar_value
40000001,1,2000,shopping,2026-03-29 19:30:55,14.0
40000002,2,5000,shopping,2026-05-06 19:30:55,35.0
40000003,2,2000,shopping,2025-08-02 19:30:55,14.0
40000004,2,2000,shopping,2026-04-10 19:30:55,14.0
40000005,3,2000,shopping,2025-10-27 19:30:55,14.0
40000006,3,2000,shopping,2025-12-23 19:30:55,14.0
40000007,3,2000,shopping,2025-11-01 19:30:55,14.0
40000008,4,2000,shopping,2025-07-28 19:30:55,14.0
40000009,4,10000,shopping,2026-01-12 19:30:55,70.0
40000010,4,2000,shopping,2025-12-06 19:30:55,14.0
40000011,5,2000,shopping,2025-12-07 19:30:55,14.0
40000012,5,5000,shopping,2025-06-22 19:30:55,35.0
40000013,5,2000,shopping,2025-09-30 19:30:55,14.0
40000014,7,5000,shopping,2025-07-20 19:30:55,35.0
40000015,8,2000,shopping,2025-10-18 19:30:55,14.0
40000016,9,2000,shopping,2026-06-05 19:30:55,14.0
40000017,9,2000,shopping,2025-09-26 19:30:55,14.0
40000018,9,5000,shopping,2025-07-03 19:30:55,35.0
40000019,9,2000,shopping,2026-02-05 19:30:55,14.0
40000020,10,2000,shopping,2025-07-02 19:30:55,14.0
40000021,10,5000,shopping,2025-12-23 19:30:55,35.0
40000022,10,2000,shopping,2026-02-10 19:30:55,14.0
40000023,10,5000,shopping,2026-02-05 19:30:55,35.0
40000024,11,2000,shopping,2025-08-19 19:30:55,14.0
40000025,12,2000,shopping,2025-09-28 19:30:55,14.0
40000026,13,2000,shopping,2026-04-08 19:30:55,14.0
40000027,13,5000,shopping,2026-01-22 19:30:55,35.0
40000028,14,2000,shopping,2025-06-07 19:30:55,14.0
40000029,15,5000,shopping,2025-10-15 19:30:55,35.0
40000030,15,10000,shopping,2026-02-23 19:30:55,70.0
40000031,15,2000,shopping,2025-06-17 19:30:55,14.0
40000032,15,10000,shopping,2026-01-16 19:30:55,70.0
40000033,15,10000,shopping,2025-08-25 19:30:55,70.0
40000034,16,2000,shopping,2025-12-03 19:30:55,14.0
40000035,16,5000,shopping,2025-07-24 19:30:55,35.0
40000036,16,2000,shopping,2025-12-04 19:30:55,14.0
40000037,16,2000,shopping,2026-02-06 19:30:55,14.0
40000038,16,2000,shopping,2025-12-29 19:30:55,14.0
40000039,17,5000,shopping,2025-12-21 19:30:55,35.0
40000040,18,5000,shopping,2025-12-07 19:30:55,35.0
40000041,18,5000,shopping,2026-04-13 19:30:55,35.0
40000042,18,2000,shopping,2025-07-03 19:30:55,14.0
40000043,19,2000,shopping,2025-07-31 19:30:55,14.0
40000044,19,25000,shopping,2026-06-04 19:30:55,175.0
40000045,20,5000,shopping,2025-06-17 19:30:55,35.0
40000046,21,5000,shopping,2025-08-02 19:30:55,35.0
40000047,22,2000,shopping,2025-06-12 19:30:55,14.0
40000048,22,2000,shopping,2025-11-12 19:30:55,14.0
40000049,22,2000,shopping,2025-10-23 19:30:55,14.0
40000050,22,25000,shopping,2025-09-22 19:30:55,175.0
40000051,22,5000,shopping,2026-04-03 19:30:55,35.0
40000052,23,2000,shopping,2026-05-24 19:30:55,14.0
40000053,24,2000,shopping,2025-08-01 19:30:55,14.0
40000054,25,5000,shopping,2025-08-22 19:30:55,35.0
